"Product","Category","Brand","Price"
Stiiizy | 40's Multi 0.5g (5pk) | I | Biscotti,Pre-Rolls,Stiiizy,32
Humo | Pre-rolls 5pk (.7g) | I | Adios GMO,Pre-Rolls,Humo,30
Humo | Pre-rolls 5pk (.7g) | S | Tres Leches,Pre-Rolls,Humo,30
Dab Daddy | LResin Dispo 1g | I | Gelato Cookies,Disposables,Dab Daddy,25
Stiiizy | Pod .5g | S | Magic Melon,Cartridges,Stiiizy,20
Rollers D | PG Flower 14g | H | Monk Juice,Halves,Rollers Delight,35
Raw | Classic Papers (40pk) | King Size Supreme,Accessories,Raw,4
Kushy Punch | Gummy 100mg | S | Strawberry (IND),Gummies,Kushy Punch,16
Kushy Punch | Gummy 100mg | I | Watermelon (IND),Gummies,Kushy Punch,16
Pacific Stone | Pre-Rolls .5g (2pk) | H | Kush Mints,Pre-Rolls,Pacific Stone,10
Dizzies Fizzy | Gummies 100mg | Classic Sodas,Edibles,Dizzies,10
LEVEL | Protabs 25mg (10pk) | CBD,Edibles,Level,33
Stiiizy | Pod .5g | I | Hardcore OG,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | S | Sour Diesel,Cartridges,Stiiizy,20
Stiiizy | Pod 1g | H | Pink Acai,Cartridges,Stiiizy,35
Stiiizy | AIO 1G | I | Biscotti,Disposables,Stiiizy,40
Stiiizy | AIO 1G | I | Hardcore OG,Disposables,Stiiizy,40
Stiiizy | AIO 1G | I | Skywalker OG,Disposables,Stiiizy,40
St. Ides | N Shot 100mg | Strawberry Lemonade 4oz,Beverages,St. Ides,9
St. Ides | N Bev 100mg | Fruit Punch 12oz,Beverages,St. Ides,9
WHOA | Chocolate 100mg | Milk Chocolate,Chocolates,WHOA,10
Lost Farms | LRO Gummies 100mg | I | Root Beer,Gummies,Lost Farms,25
Boutiq | LR Dispo 1g | H | Strawberry Fritter,Disposables,Boutiq,27
Boutiq | LR Dispo 1g | I | Watermelon Z,Disposables,Boutiq,27
Sip Elixirs | Beverage 100mg | Sativa | Electric Lemon Party,Beverages,Sip Elixirs,10
Pure Beauty | Little Strong Drink 100mg | CBN | Hibiscus Grape Cardamom,Beverages,Pure Beauty,25
Preferred Gardens | Pre-Roll 1g | Znackz,Pre-Rolls,Preferred Gardens,12
